Score_bruto,5_anos,6_anos,7_anos,8_anos,9_anos,10_anos,11_anos,12_anos,13_anos,14_anos,Jovens_Adultos
1,57,54,66,66,60,25,14,21,19,0,0
2,59,56,68,67,62,27,17,23,21,0,0
3,61,57,69,68,63,29,19,25,23,0,0
4,63,59,70,70,64,31,21,27,25,0,0
5,65,61,71,71,65,33,23,29,27,0,0
6,67,62,72,72,66,34,25,30,28,0,0
7,69,64,73,73,67,36,27,32,30,0,0
8,71,66,74,74,68,38,29,34,32,2,0
9,73,67,75,75,70,40,31,36,34,4,0
10,75,69,77,76,71,41,33,38,36,7,0
11,77,71,78,77,72,43,35,40,38,10,0
12,79,72,79,79,73,45,37,42,40,12,0
13,81,74,80,80,74,47,39,44,42,15,0
14,83,76,81,81,75,49,41,46,43,17,0
15,85,77,82,82,76,50,43,48,45,20,0
16,87,79,83,83,78,52,45,50,47,22,0
17,89,81,84,84,79,54,47,52,49,25,0
18,91,82,86,85,80,56,49,53,51,27,0
19,93,84,87,86,81,58,51,55,53,30,0
20,96,85,88,87,82,59,53,57,55,32,0
21,98,87,89,89,83,61,55,59,56,35,0
22,100,89,90,90,85,63,57,61,58,38,0
23,102,90,91,91,86,65,59,63,60,40,0
24,104,92,92,92,87,66,61,65,62,43,0
25,106,94,93,93,88,68,63,67,64,45,0
26,108,95,95,94,89,70,65,69,66,48,0
27,110,97,96,95,90,72,67,71,68,50,0
28,112,99,97,96,91,74,69,73,69,53,0
29,114,100,98,98,93,75,71,75,71,55,0
30,116,102,99,99,94,77,73,77,73,58,0
31,118,104,100,100,95,79,75,78,75,60,0
32,120,105,101,101,96,81,77,80,77,63,0
33,122,107,102,102,97,83,79,82,79,66,0
34,124,109,104,103,98,84,81,84,81,68,0
35,126,110,105,104,99,86,83,86,83,71,0
36,128,112,106,105,101,88,85,88,84,73,0
37,130,114,107,107,102,90,87,90,86,76,0
38,132,115,108,108,103,91,89,92,88,78,0
39,134,117,109,109,104,93,91,94,90,81,0
40,136,118,110,110,105,95,93,96,92,83,0
41,138,120,111,111,106,97,95,98,94,86,0
42,140,122,113,112,108,99,97,100,96,88,0
43,142,123,114,113,109,100,99,101,97,91,0
44,144,125,115,114,110,102,101,103,99,94,15
45,146,127,116,116,111,104,103,105,101,96,30
46,148,128,117,117,112,106,105,107,103,99,44
47,150,130,118,118,113,108,107,109,105,101,59
48,152,132,119,119,114,109,109,111,107,104,74
49,154,133,120,120,116,111,112,113,109,106,88
50,156,135,122,121,117,113,114,115,111,109,103
